lemma,frequency,derivatives
ceremonia,17,ceremonia
cantante,17,cantante
camiseta,17,camiseta camisetas
cafetería,17,cafetería
cabaña,17,cabaña
bárbaro,17,bárbara bárbaro
auténtico,17,auténtico auténtica
atraer,17,atrae atraer
asumir,17,asumo asumir
arruinado arruinar,17,arruinado
arreglado arreglar,17,arreglado
apellido,17,apellido
alimento,17,alimentos alimento
alimentar,17,alimentar alimenta
alguacil,17,alguacil
activo activar,17,activo activa
aceite,17,aceite
abrazo abrazar,17,abrazo
vendedor,16,vendedor
ubicación,16,ubicación
traducción,16,traducción
tabaco,16,tabaco
supremo,16,supremo suprema
sorprendente,16,sorprendente
sincronizado sincronizar,16,sincronizado
similar,16,similar similares
sensible,16,sensible
semilla,16,semilla semillas
secretaria,16,secretaria
rollo,16,rollo
reverendo,16,reverendo
retiro retirar,16,retiro
religión,16,religión
reciente,16,reciente recientes
radar,16,radar
química,16,química
protocolo,16,protocolo protocolos
propuesta propuesto proponer,16,propuesta
pleno,16,plena pleno
plataforma,16,plataforma
píldora,16,píldoras píldora
pastor,16,pastor
operar,16,operar opera
niñera,16,niñera
naranja naranjo,16,naranja
mosca,16,mosca moscas
marinero,16,marinero marineros
maletín,16,maletín
mago,16,mago
llegada llegar,16,llegada
linea,16,linea
limpio,16,limpias limpios
liga ligar,16,liga
lenguaje,16,lenguaje
juventud,16,juventud
junio,16,junio
jugada jugar,16,jugada
jovencita,16,jovencita
invitación,16,invitación
invisible,16,invisible
instrumento,16,instrumento instrumentos
impulso,16,impulso impulsos
horario,16,horario
historial,16,historial
hechizo hechizar,16,hechizo
guión,16,guión
guau,16,guau
girar,16,girar girando
gerente,16,gerente
gatillo,16,gatillo
femenino,16,femenino femenina
fase,16,fase
fama,16,fama
extremadamente,16,extremadamente
expresión,16,expresión
exposición,16,exposición
equipaje,16,equipaje
engaño engañar,16,engaño
echado echar,16,echado
dormido dormir,16,dormida
distrito,16,distrito
disco,16,discos
dificultad,16,dificultades dificultad
dibujo dibujar,16,dibujo
dibujo,16,dibujos
cuero,16,cuero
cosmos,16,cosmos cosmo
cortado cortar,16,cortado
construido construir,16,construido construida
confesión,16,confesión
concurso,16,concurso
cobrar,16,cobrar cobro
cita,16,citas
cigarro,16,cigarro cigarros
caridad,16,caridad
cagar,16,cagar cago
basado basar,16,basado basada
bandido,16,bandidos bandido
balboa,16,balboa
autopista,16,autopista
audiencia,16,audiencia
aterrizaje,16,aterrizaje
artificial,16,artificial artificiales
apetecer,16,apetece
agenda,16,agenda
volante,15,volante
villa,15,villa
viaje,15,viajes
vencido vencer,15,vencido
vela velar,15,vela
trono,15,trono
trago,15,tragos
traficante,15,traficante traficantes
temor,15,temor
sueldo,15,sueldo
simpático,15,simpático simpática
significado significar,15,significado
semejante,15,semejante
satisfecho satisfacer,15,satisfecho
samurai,15,samurai
saludable,15,saludable
risa,15,risa
república,15,república
representante,15,representante
renta rentar,15,renta
religioso,15,religioso religiosa
recurso,15,recursos
reconocimiento,15,reconocimiento
recientemente,15,recientemente
rango,15,rango
quinto,15,quinto
psiquiatra,15,psiquiatra
producción,15,producción
prestado prestar,15,prestado
presentación,15,presentación
posesión,15,posesión
pirámide,15,pirámide
once,15,once
oficialmente,15,oficialmente
nudo,15,nudos nudo
novela,15,novela novelas
nervio,15,nervios
molestia,15,molestia
modal,15,modales
miss,15,miss
medir,15,mide medir
mediodía,15,mediodía
maquillaje,15,maquillaje
maíz,15,maíz
lesión,15,lesiones lesión
lavar,15,lavar
jazz,15,jazz
instalación,15,instalaciones instalación
influencia,15,influencia
guitarra,15,guitarra
guardaespaldas,15,guardaespaldas
graduación,15,graduación
gafas,15,gafas
fortaleza,15,fortaleza
formación,15,formación
extremo,15,extremo
eternidad,15,eternidad
estructura,15,estructura
estacionamiento,15,estacionamiento
estable,15,estable
espiritual,15,espiritual
episodio,15,episodio
ensayo ensayar,15,ensayo
diosa,15,diosa
dinosaurio,15,dinosaurios dinosaurio
descuidar,15,descuida
debilidad,15,debilidad
data,15,data
custodia,15,custodia
cumplido cumplir,15,cumplido
corea,15,corea
coordenada,15,coordenadas
conversar,15,conversar
considerado considerar,15,considerado
concepto,15,concepto
complejo,15,complejo
compasión,15,compasión
colocar,15,colocar coloca
civilización,15,civilización
causado causar,15,causado
capital,15,capital
cancelar,15,cancelar cancela
cálculo,15,cálculos cálculo
brindis,15,brindis
bendición,15,bendición
aproximadamente,15,aproximadamente
apretar,15,aprieta apretar
antecedente,15,antecedentes
aniversario,15,aniversario
ánimo,15,ánimo
alquiler,15,alquiler
administración,15,administración
acuerdo acordar,15,acuerda
abril,15,abril
voto votar,14,voto
violación,14,violación
vidrio,14,vidrio
uña,14,uñas
turista,14,turistas turista
tristeza,14,tristeza
traje,14,trajes
traicionar,14,traicionó traicionaste
torneo tornear,14,torneo
terminal,14,terminal
tenis,14,tenis
talvez,14,talvez
táctica,14,táctica tácticas
sujetar,14,sujétate sujétense
sostén sostener,14,sostén
sorprendido sorprender,14,sorprendido
sobra sobrar,14,sobra
seco,14,seco
rob Rob,14,rob
ritual,14,ritual rituales
rito Rita,14,rita
riñón,14,riñón riñones
revelar,14,revelar revela
reto retar,14,reto
realizar,14,realizar
quirófano,14,quirófano
químico,14,químico químicos
provocar,14,provocar provoca
protegido proteger,14,protegido
profundamente,14,profundamente
productor,14,productor
presa preso,14,presa
potencial,14,potencial
portal,14,portal
porno,14,porno
policial,14,policial
poesía,14,poesía
poción,14,poción
permitido permitir,14,permitido
perfil,14,perfil
pasaje,14,pasaje
origen,14,origen
oración,14,oración oraciones
objeción,14,objeción
morfina,14,morfina
monte,14,monte
mafia,14,mafia
lola lolo Lola,14,lola
lente lentes,14,lentes
lejano,14,lejano
lavado lavar,14,lavado
kg kilogramo,14,kg
jinete,14,jinete jinetes
interno internar,14,interna
intercambio intercambiar,14,intercambio
inicial,14,inicial iniciales
ingeniero,14,ingeniero ingenieros
infarto,14,infarto
infantil,14,infantil
heredero,14,heredero
hemorragia,14,hemorragia
global,14,global
generalmente,14,generalmente
gasto,14,gastos
galaxia,14,galaxia
fusión,14,fusión
fracaso fracasar,14,fracaso
fianza,14,fianza
España,14,españa
esencia,14,esencia
escapado escapar,14,escapado
escala escalar,14,escala
ensalada,14,ensalada
elfo,14,elfos elfo
doloroso,14,doloroso
doblar,14,dobla doblar
discusión,14,discusión
digno,14,digno
digital,14,digitales digital
destruido,14,destruida destruidos
delincuente,14,delincuente delincuentes
delgado,14,delgado delgada
cuánto cuanto,14,cuánta
cuan,14,cuan
convencido convencer,14,convencido
conocida conocido conocer,14,conocida
conflicto,14,conflicto
confirmado confirmar,14,confirmado
comisión,14,comisión
combinación,14,combinación
columna,14,columna
circuito,14,circuito circuitos
champaña,14,champaña
Canadá,14,canadá
camino,14,caminos
callado callar,14,callado
cadera,14,cadera caderas
bombero,14,bomberos
bingo,14,bingo
bebida bebido beber,14,bebidas
bate batir,14,bate
bárbaro Barbara,14,barbara
autopsia,14,autopsia
atento,14,atentos atento
atado atar,14,atado atada
arco,14,arco
almacén,14,almacén
alienígeno,14,alienígenas alienígena
admirar,14,admiro
aceptado aceptar,14,aceptado
voto,13,votos
volumen,13,volumen
vodka,13,vodka
visual,13,visual
visitante,13,visitantes visitante
violar,13,violar violó
vestido,13,vestidos
verificar,13,verificar verifica
vendido vender,13,vendido
venda vender,13,venda vendas
tortura torturar,13,tortura
tiro,13,tiros
testimonio,13,testimonio
técnicamente,13,técnicamente
sordo,13,sordo
sinceramente,13,sinceramente
SIDA,13,sida
sabio saber,13,sabias
sabiduría,13,sabiduría
roja rojo,13,rojas
remoto,13,remoto
relacionado relacionar,13,relacionado
raya rayar,13,raya
rancho,13,rancho
rama,13,rama ramas
profesora,13,profesora
profesión,13,profesión
presupuesto,13,presupuesto
población,13,población
pesa pesar,13,pesa
persecución,13,persecución
período,13,período
pelotón,13,pelotón
pega pegar,13,pega
paro parar,13,paro
pantano,13,pantano
pacífico,13,pacífico
observación,13,observación
obligar,13,obligó obliga
núcleo,13,núcleo
niebla,13,niebla
nido,13,nido
multitud,13,multitud
mueble,13,muebles
misericordia,13,misericordia
merced,13,mercedes merced
mercancía,13,mercancía
mansión,13,mansión
manejo manejar,13,manejo
lujo,13,lujo
llenar,13,llenar
leal,13,leal
lastimado lastimar,13,lastimado
láser,13,láser
largo,13,largos
judas,13,judas
jo,13,jo
jefa,13,jefa
jabón,13,jabón
impresionado impresionar,13,impresionado
importe importar,13,importe
identificar,13,identificar
hueco,13,hueco
hábito,13,hábitos hábito
fracasado fracasar,13,fracasado
fotógrafo,13,fotógrafo
federación,13,federación
fallo fallar,13,fallo
exigir,13,exige exijo
estrategia,13,estrategia
espantoso,13,espantoso
escritura,13,escritura escrituras
equívoco,13,equivoco
enterado enterar,13,enterado
eco,13,eco
duro,13,duros
duende,13,duende duendes
dispositivo,13,dispositivo
diciembre,13,diciembre
detestar,13,detesto
despegue despegar,13,despegue
desorden,13,desorden
desfile desfilar,13,desfile
desarrollo desarollar,13,desarrollo
derrota,13,derrota
dentista,13,dentista
delta,13,delta
defecto,13,defecto defectos
curar,13,curar
cuerno,13,cuernos cuerno
creído creer,13,creído
creencia,13,creencias creencia
crecido crecer,13,crecido
cráneo,13,cráneo
cosecha cosechar,13,cosecha
continuo continuar,13,continua
conspiración,13,conspiración
confidencial,13,confidencial
cómoda cómodo,13,cómoda
comida comido comer,13,comidas
cogido coger,13,cogido
cm centímetro,13,cm
cifra,13,cifras cifra
champán,13,champán
certeza,13,certeza
ceniza,13,cenizas
beca,13,beca
baúl,13,baúl
balón,13,balón
ballena,13,ballenas ballena
avenida,13,avenida
aumento aumentar,13,aumento
atmósfera,13,atmósfera
asociación,13,asociación
ascenso,13,ascenso
árabe,13,árabe árabes
amenazar,13,amenazó amenazando
alegre,13,alegre
agosto,13,agosto
agallas agalla,13,agallas
agachar,13,agáchate
abeja,13,abeja abejas
votar,12,votar voten
volador,12,voladora volador
vicepresidente,12,vicepresidente
vengar,12,vengarse vengar
Vaticano,12,vaticano
vano,12,vano
vago vagar,12,vago
tiroteo,12,tiroteo
tinta tinto,12,tinta
tenso,12,tenso tensa
tapa tapar,12,tapa
susto,12,susto
superhéroe,12,superhéroe superhéroes
subtitulado,12,subtitulado
sostener,12,sostener sostiene
solicitar,12,solicito solicita
síntoma,12,síntomas
sindicato,12,sindicato
simón Simón,12,simón
seso,12,sesos
seriamente,12,seriamente
sentencia,12,sentencia
secuestrador,12,secuestradores secuestrador
seco secar,12,seca
sajón,12,sajones
rudo,12,rudo
romance,12,romance
riqueza,12,riqueza riquezas
retraso retrasar,12,retraso
respiro respirar,12,respiro
repugnante,12,repugnante
reportero,12,reportero reporteros
reducir,12,reducir reduce
receta recetar,12,receta
ramera,12,ramera
radiación,12,radiación
quitado quitar,12,quitado
quemado quemar,12,quemado
profundidad,12,profundidad
presionar,12,presiona presionar
plazo,12,plazo
piso,12,pisos
petición,12,petición
pescar,12,pescar
pesca pescar,12,pesca
permanente,12,permanente
perímetro,12,perímetro
perfume,12,perfume
pegado pegar,12,pegado
participar,12,participar
pareja parejo,12,parejas
pagar paga,12,pagas
orinar,12,orinar
ordenador,12,ordenador
obligado obligar,12,obligado
obligación,12,obligación obligaciones
noviembre,12,noviembre
norma normar,12,norma
niñita,12,niñita
musical,12,musical
muralla,12,muralla
múltiple,12,múltiples
mordida mordido morder,12,mordida
mona mono,12,mona
mmm,12,mmm
mm milímetro,12,mm
misa,12,misa
milagro Milagros,12,milagros
metrópolis metrópoli,12,metrópolis
matón,12,matón matones
masacre,12,masacre
mantequilla,12,mantequilla
mamita,12,mamita
macho,12,macho
linterna,12,linterna
lazo,12,lazo lazos
lápiz,12,lápiz
jungla,12,jungla
jamón,12,jamón
intruso,12,intruso intrusos
infancia,12,infancia
inevitable,12,inevitable
increíblemente,12,increíblemente
incapaz,12,incapaz
horror,12,horror
gastar,12,gastar
garantizar,12,garantizo
fuga,12,fuga
francotirador,12,francotiradores francotirador
forense,12,forense
fino,12,fino fina
fallado fallar,12,fallado
explorador,12,explorador exploradores
excepción,12,excepción
ese esos,12,ésos
ese esa,12,ésas
Escocia,12,escocia
escándalo,12,escándalo
engañado engañar,12,engañado
emocional,12,emocional
embarazo embarazar,12,embarazo
electrónico,12,electrónico electrónica
eléctrica eléctrico,12,eléctrica
disciplina,12,disciplina
dignidad,12,dignidad
diana Diana,12,diana
despertado despertar,12,despertado
despegar,12,despegar
descripción,12,descripción
delito,12,delito
dedicado dedicar,12,dedicado
cuarenta,12,cuarenta
crítica,12,crítica
corporación,12,corporación
convenir,12,conviene
constante,12,constante
conectar,12,conecta conectar
comisaría,12,comisaría
comedor,12,comedor
chip,12,chip
chance,12,chance
cargado cargar,12,cargado
calzón,12,calzones
callejón,12,callejón
cacería,12,cacería
brigada,12,brigada
barón,12,barón
barba,12,barba
atacado atacar,12,atacado
astuto,12,astuto
artillería,12,artillería
arriesgado arriesgar,12,arriesgado
arquitecto,12,arquitecto
arbusto,12,arbusto arbustos
apoyar,12,apoyar apoya
apariencia,12,apariencia
antídoto,12,antídoto
anteriormente,12,anteriormente
alta alto,12,altas
veloz,11,veloz
usualmente,11,usualmente
tubería,11,tubería tuberías
transferencia,11,transferencia
testamento,11,testamento
telefónico,11,telefónica
tatuaje,11,tatuaje
taller,11,taller
talla tallar,11,talla
supuestamente,11,supuestamente
supervivencia,11,supervivencia
suma sumar,11,suma
suceso,11,suceso sucesos
soñado soñar,11,soñado
solar,11,solar
soga,11,soga
síndrome,11,síndrome
sensacional,11,sensacional
sello,11,sello
seguido,11,seguidos seguidas
seda sedar,11,seda
santuario,11,santuario
sable,11,sable
sábana,11,sábanas
rodear,11,rodea rodeada
retrasado retrasar,11,retrasado
resuelto resolver,11,resuelto
rescatar,11,rescatar
reparar,11,reparar
refrigerador,11,refrigerador
psicópata,11,psicópata
proceder,11,proceder procedan
privilegio,11,privilegio
precaución,11,precaución precauciones
postre,11,postre
polo,11,polo
plaga plagar,11,plaga
pervertido pervertir,11,pervertido
perspectiva,11,perspectiva
pentágono,11,pentágono
patata,11,patatas
papito papá,11,papito
otoño,11,otoño
orina,11,orina
órbita,11,órbita
ópera,11,ópera
ohh,11,ohh
oficio,11,oficio
mochila,11,mochila
ministerio,11,ministerio
micrófono,11,micrófono
mentido mentir,11,mentido
mecanismo,11,mecanismo
matemática,11,matemáticas
marzo,11,marzo
lógico,11,lógico
literalmente,11,literalmente
líquido,11,líquido
licor,11,licor
juzgar,11,juzgar
jovencito joven,11,jovencito
jade,11,jade
iris,11,iris
invasión,11,invasión
inspiración,11,inspiración
insignificante,11,insignificante
infantería,11,infantería
independiente,11,independiente
incómodo,11,incómodo
impresionar,11,impresionar impresionó
ido ir,11,ida
identificado identificar,11,identificado
humilde,11,humilde
horno,11,horno
honorable,11,honorable
hmm,11,hmm
hermanito hermano,11,hermanito
hermandad,11,hermandad
grosero,11,grosero
grito gritar,11,grito
goma,11,goma
giro girar,11,giro
gesto gestar,11,gesto
gen,11,genes gen
galería,11,galería
fugitivo,11,fugitivo fugitivos
fraude,11,fraude
franco Franco,11,franco
formulario,11,formulario formularios
fanático,11,fanático fanáticos
factura facturar,11,factura facturas
expresar,11,expresar expreso
expedición,11,expedición
estatal,11,estatal
espía,11,espías
espectro,11,espectros espectro
especialista,11,especialista
especialidad,11,especialidad
esfuerzo,11,esfuerzos
escolar,11,escolar
equilibrio,11,equilibrio
entregado entregar,11,entregado
enseñado enseñar,11,enseñado
enero,11,enero
encendido encender,11,encendido
encajar,11,encaja
en seguida seguido seguir,11,seguida
elefante,11,elefante
ejecutar,11,ejecutar ejecutado
ejecución,11,ejecución
ego,11,ego
economía,11,economía
descubrimiento,11,descubrimiento
demostración,11,demostración
decepcionado,11,decepcionado
crucero,11,crucero
creación,11,creación
costo costar,11,costo
costilla,11,costillas
cortesía,11,cortesía
controlar control,11,controles
controlado controlar,11,controlado
contratado contratar,11,contratado
consulta consultar,11,consulta
constantemente,11,constantemente
conque,11,conque
condena,11,condena
compañia,11,compañia
cometa cometer,11,cometa
colorado colorar,11,colorado
clérigo,11,clérigo
claudia Claudia,11,claudia
choque chocar,11,choque
chistoso,11,chistoso
chiste,11,chistes
chimenea,11,chimenea
césped,11,césped
celo,11,celos
católico,11,católica católico
capullo,11,capullo
caballería,11,caballería
boxeo boxear,11,boxeo
boxeador,11,boxeador
bondad,11,bondad
bendito bendecir,11,bendito
bebido beber,11,bebido
batalla batallar,11,batallas
bata batir,11,bata
baño,11,baños
bahía,11,bahía
autorizado autorizar,11,autorizado
Australia,11,australia
ausencia,11,ausencia
audición,11,audición
asistencia,11,asistencia
Asia,11,asia
arroz,11,arroz
armadura,11,armadura
Arabia arabio,11,arabia
apetito,11,apetito
ancestro,11,ancestros
amiguito amigo,11,amiguito
alivio aliviar,11,alivio
alfa,11,alfa
afueras,11,afueras
afirmativo,11,afirmativo
aficionado,11,aficionado aficionados
acusar,11,acusa acusar
acostado acostar,11,acostado
aclarar,11,aclarar
visa,10,visa
vientre,10,vientre
vestíbulo,10,vestíbulo
vender vendar,10,vendo
varón,10,varón
val,10,val
transmisor,10,transmisor
traicionado traicionar,10,traicionado
traducido traducir,10,traducido
torpe,10,torpe
toro,10,toro
tonelada,10,toneladas
tomate tomar,10,tomate
tobillo,10,tobillo
timón,10,timón
timar,10,times
terrorismo,10,terrorismo
teresa Teresa,10,teresa
tarado,10,tarado
tabla,10,tabla
suplicar,10,suplico
Suiza suizo,10,suiza
suite,10,suite
suicida,10,suicida
subido subir,10,subido
soltera soltero,10,soltera
sobrina,10,sobrina
siesta,10,siesta
sierra,10,sierra
sexto,10,sexto
servido servir,10,servido
semental,10,semental
salvador,10,salvador
salario,10,salario
sake,10,sake
ruina ruinar,10,ruinas
robado,10,robada robados
región,10,región
recuperado recuperar,10,recuperado
recuperación,10,recuperación
record,10,récord
raíz,10,raíces
rabia rabiar,10,rabia
pum,10,pum
provisión,10,provisiones
protector,10,protector
préstamo,10,préstamo
preferido preferir,10,preferido
post,10,post
portada portado portar,10,portada
por favor,10,porfavor
podrido,10,podrido podrida
pito pitar,10,pito
pita,10,pita
pintar,10,pintar
peste,10,peste
perla,10,perla
pensión,10,pensión
pelo,10,pelos
particularmente,10,particularmente
panel,10,panel
palma palmar,10,palma
padrino,10,padrino
pacto pactar,10,pacto
orilla,10,orilla
organizar,10,organizar
organizado organizar,10,organizado
ooh,10,ooh
ofender,10,ofender
obsesionado obsesionar,10,obsesionado
novato,10,novato
norma,10,normas
neo neón,10,neo
navegar,10,navegar
navaja,10,navaja
muñeco,10,muñeco
morgue,10,morgue
mordido morder,10,mordido
monja,10,monja monjas
molestado molestar,10,molestado
mojado mojar,10,mojado
módulo,10,módulo
mito,10,mito
miseria,10,miseria
milord,10,milord
mensajero,10,mensajero
materia,10,materia
masivo,10,masiva
martillo martillar,10,martillo
marte,10,marte
mantenimiento,10,mantenimiento
manta,10,manta
mandado mandar,10,mandado
malentendido,10,malentendido
magneto,10,magneto
localizar,10,localizar
lidiar,10,lidiar
lastima lástima,10,lastima
lance lanzar,10,lance
justamente,10,justamente
juramento,10,juramento
investigador,10,investigador
íntimo,10,íntimos íntimo
iniciar,10,iniciar
indicado indicar,10,indicado
imaginado imaginar,10,imaginado
huracán,10,huracán
hueón huevón,10,hueón
hilo,10,hilo
hembra,10,hembra
hacha,10,hacha
granjero,10,granjero
granero,10,granero
grabación,10,grabación
ginebra,10,ginebra
gilipollas,10,gilipollas
gentil,10,gentil
genética genético,10,genética
garra,10,garras
fractura fracturar,10,fractura
filosofía,10,filosofía
felicitar,10,felicito
fax,10,fax
facultad,10,facultad
excitante,10,excitante
evidente,10,evidente
eternamente,10,eternamente
estrés,10,estrés
espectacular,10,espectacular
escopeta,10,escopeta
envío enviar,10,envío
envidia envidiar,10,envidia
entrenado entrenar,10,entrenado
enterrar,10,enterrar
enlace,10,enlace
enhorabuena,10,enhorabuena
enfermería,10,enfermería
emocionar,10,emocionado
Egipto,10,egipto
editor,10,editor
drogado drogar,10,drogado
dorado dorar,10,dorado
disposición,10,disposición
diagnóstico,10,diagnóstico
destrozado destrozar,10,destrozado
despejar,10,despejen
dañado dañar,10,dañado
cuidado cuidar,10,cuidados
Cuba,10,cuba
cruce cruzar,10,cruce
conservar,10,conservar
consejero,10,consejero
conquistar,10,conquistar
confusión,10,confusión
condicional,10,condicional
condesa,10,condesa
concentración,10,concentración
competir,10,competir
combatir,10,combatir
colgado colgar,10,colgado
chaval,10,chaval
cargamento,10,cargamento
cardíaco,10,cardíaco
canto cantar,10,canto
canciller,10,canciller
calmado calmar,10,calmado
cajón,10,cajón
caber,10,cabe
bóveda,10,bóveda
billón,10,billones
billetera,10,billetera
batallón,10,batallón
bailarina bailarín,10,bailarina
avergonzado avergonzar,10,avergonzado
automóvil,10,automóvil
ataúd,10,ataúd
asilo,10,asilo
as,10,as
arrojar,10,arroja arrojó
arrogante,10,arrogante
arrepentir,10,arrepentirás arrepiento
Arabia Saudita,10,saudita
apresurar,10,apresúrate
apestoso,10,apestoso
antena,10,antena
ángulo,10,ángulo
anciano anciana,10,anciana
almohada,10,almohada
aliado aliar,10,aliados
águila,10,águila
aguardar,10,aguarda
afortunadamente,10,afortunadamente
activado activar,10,activado
acento,10,acento
acceder,10,acceder
abuelita abuela,10,abuelita
zoológico,9,zoológico
yate,9,yate
yarda,9,yardas
viviente,9,viviente
viuda viudo,9,viuda
veredicto,9,veredicto
vagón,9,vagón
universal,9,universal
trece,9,trece
tranquilidad,9,tranquilidad
tortuga,9,tortuga
torta,9,torta
tórax,9,tórax
tierno,9,tierno
test,9,test
tejido tejer,9,tejido
tarta,9,tarta
taco,9,taco
supervisor,9,supervisor
sumamente,9,sumamente
soplón,9,soplón
solucionar,9,solucionar
soledad,9,soledad
sensor,9,sensores
secuestrado secuestrar,9,secuestrado
saturación,9,saturación
sándwich,9,sándwich
salvación,9,salvación
saludo saludar,9,saludo
reunido reunir,9,reunido
retrato retratar,9,retrato
renuncio renunciar,9,renuncio
reno,9,reno
regimiento,9,regimiento
recto,9,recto
recomendar,9,recomiendo
recado,9,recado
rebelión,9,rebelión
programado programar,9,programado
poseer,9,posee
pope,9,pope
plomo,9,plomo
plasma,9,plasma
picnic,9,picnic
patria,9,patria
papeleo,9,papeleo
pañuelo,9,pañuelo
pañal,9,pañales
oveja,9,ovejas
oso,9,osos
oriente,9,oriente
ordenado ordenar,9,ordenado
orco,9,orcos
multa multar,9,multa
monitor,9,monitor
mirado mirar,9,mirado
mezcla mezclar,9,mezcla
menú,9,menú
medicación,9,medicación
mecánico,9,mecánico
marcador,9,marcador
manicomio,9,manicomio
maní,9,maní
maletero,9,maletero
madrina,9,madrina
lunar,9,lunar
luchador,9,luchador
literatura,9,literatura
lesbiana,9,lesbiana
lámpara,9,lámpara
kung fu fu,9,fu
kilo kilogramo,9,kilo
juzgado juzgar,9,juzgado
inyección,9,inyección
invento inventar,9,invento
inusual,9,inusual
injusto,9,injusto
inferior,9,inferior
inestable,9,inestable
individuo,9,individuo
independencia,9,independencia
imperial,9,imperial
huelga,9,huelga
hondo,9,hondo
hallado hallar,9,hallado
habitual,9,habitual
gripe,9,gripe
granada granar,9,granadas
Granada granada granado granar,9,granada
Gral. general,9,gral
grabado grabar,9,grabado
flujo,9,flujo
festival,9,festival
feria,9,feria
febrero,9,febrero
farsa,9,farsa
falda,9,falda
eventualmente,9,eventualmente
estribor,9,estribor
estallar,9,estallar
estadio,9,estadio
espléndido,9,espléndido
esencial,9,esencial
escotilla,9,escotilla
escondite,9,escondite
ejecutivo,9,ejecutivo
ebrio,9,ebrio
dulzura,9,dulzura
drama,9,drama
documental,9,documental
desperdicio,9,desperdicio
deseado desear,9,deseado
descarga descargar,9,descarga
desafío desafiar,9,desafío
derrotar,9,derrotar
deprimido deprimir,9,deprimido
depresión,9,depresión
demora demorar,9,demora
democracia,9,democracia
cruzado cruzar,9,cruzado
criado criar,9,criado
corresponder,9,corresponde
correctamente,9,correctamente
conveniente,9,conveniente
convención,9,convención
contrato,9,contratos
contador,9,contador
contactar,9,contactar
consuelo consolar,9,consuelo
conjunto,9,conjunto
congelado congelar,9,congelado
confesar,9,confesar
comprobar,9,comprobar
comprendido comprender,9,comprendido
comparado comparar,9,comparado
cómico,9,cómico
comercio comerciar,9,comercio
coco,9,coco
cocinero,9,cocinero
cobertura,9,cobertura
clan,9,clan
científico científica,9,científica
chau,9,chau
centímetro,9,centímetros
carbón,9,carbón
capturado capturar,9,capturado
camilla,9,camilla
camarero,9,camarero
calzoncillo,9,calzoncillos
calibre,9,calibre
botar bote,9,botes
borrar,9,borrar
bobo,9,bobo
bla,9,bla
billar,9,billar
bigote,9,bigote
beso,9,besos
bendito,9,bendita
barril,9,barril
barato barata,9,barata
banquete,9,banquete
bandeja,9,bandeja
bajo,9,bajos
bajado bajar,9,bajado
azar,9,azar
aventura aventurar,9,aventuras
avance avanzar,9,avance
autor,9,autor
autógrafo,9,autógrafo
atajo atajar,9,atajo
ardiente,9,ardiente
aplauso,9,aplauso
ansioso,9,ansioso
algodón,9,algodón
alcanzado alcanzar,9,alcanzado
ajedrez,9,ajedrez
ahh,9,ahh
agotado agotar,9,agotado
afecto afectar,9,afecto
administrador,9,administrador
adelantado,9,adelantado
actualmente,9,actualmente
ácido,9,ácido
abogada,9,abogada
abismo,9,abismo
abdomen,9,abdomen
zorro,8,zorro
vuelo,8,vuelos
vito,8,vito
vino,8,vinos
vestuario,8,vestuario
vergonzoso,8,vergonzoso
valentía,8,valentía
vagabundo,8,vagabundo
tumor,8,tumor
tronco,8,tronco
triunfo triunfar,8,triunfo
trato,8,tratos
torpedo,8,torpedos
todopoderoso,8,todopoderoso
tirador,8,tirador
texto,8,texto
terriblemente,8,terriblemente
terremoto,8,terremoto
terminado terminar,8,terminada
tentación,8,tentación
temblar,8,temblando
televisor,8,televisor
sustancia,8,sustancia
suspendido suspender,8,suspendido
surf,8,surf
sugerencia,8,sugerencia
sonda sondar,8,sonda
solicitud,8,solicitud
software,8,software
so,8,so
shh,8,shh
separación,8,separación
sentimental,8,sentimental
seno,8,senos
sendero,8,sendero
senadora,8,senadora
seguidor,8,seguidores
satisfacción,8,satisfacción
salmón,8,salmón
salida salido salir,8,salidas
ruina,8,ruina
rival,8,rival
rincón,8,rincón
revisión,8,revisión
reservado reservar,8,reservado
registrado registrar,8,registrado
reflejo reflejar,8,reflejo
recorrido recorrer,8,recorrido
récord,8,record
reconocido reconocer,8,reconocido
reactor,8,reactor
rastrear,8,rastrear
quinta quinto,8,quinta
quemadura,8,quemaduras
pudrir,8,púdrete
prudente,8,prudente
provenir,8,proviene
promedio,8,promedio
profecía,8,profecía
privacidad,8,privacidad
presentado presentar,8,presentado
postal,8,postal
portar,8,pórtate
portaaviones,8,portaaviones
político política,8,políticas
polis,8,polis
poeta,8,poeta
pobreza,8,pobreza
po pues,8,po
pila,8,pila
perpetuo,8,perpetua
patear,8,patear
patán,8,patán
paracaídas,8,paracaídas
pa para,8,pa
oriental,8,oriental
opuesto oponer,8,opuesto
occidental,8,occidental
obsesión,8,obsesión
observador,8,observador
novedad,8,novedad
necesariamente,8,necesariamente
nasa NASA,8,nasa
mutuamente,8,mutuamente
murciélago,8,murciélago
mudo mudar,8,mudo
metido meter,8,metida
melodía,8,melodía
medicamento,8,medicamentos
mear,8,mear
matrícula,8,matrícula
mariscal,8,mariscal
mariposa,8,mariposa
marine,8,marines
margen,8,margen
marco,8,marcos
marcar,8,marcar
magdalena,8,magdalena
lunático,8,lunático
lotería,8,lotería
localizado localizar,8,localizado
linaje,8,linaje
lila,8,lila
liberación,8,liberación
levantado levantar,8,levantado
letrero,8,letrero
lava lavar,8,lava
latín,8,latín
